
================================================================================
  6. CAMPSITE ATTRIBUTES - Complete inventory
================================================================================
Total attribute records: 2,423,061
Unique attribute names: 341

All attributes by frequency:
  Checkout Time                                :    123,255 records,     83 unique values
    'Basic'                                 :    3,161 ( 11.5%)
    'Preferred'                             :    2,012 (  7.3%)
    'N/A'                                   :    1,564 (  5.7%)
    ''                                      :      623 (  2.3%)
    'Good'                                  :       23 (  0.1%)
    'Standar'                               :        3 (  0.0%)
    'PRIME'                                 :        1 (  0.0%)
    'PREFER'                                :        1 (  0.0%)

  --- Condition Rating (23,834 records, 11 unique values) ---
    'Good'                                  :   10,800 ( 45.3%)
    'Basic'                                 :    3,447 ( 14.5%)
    'Standard'                              :    3,379 ( 14.2%)
    'Prime'                                 :    3,047 ( 12.8%)
    'N/A'                                   :    1,807 (  7.6%)
    ''                                      :      673 (  2.8%)
    'Preferred'                             :      472 (  2.0%)
    'Poor'                                  :      206 (  0.9%)
    'PRIME'                                 :        1 (  0.0%)
    'PREFER'                                :        1 (  0.0%)
    'BASIC'                                 :        1 (  0.0%)

  --- Location Rating (25,446 records, 9 unique values) ---
    'Good'                                  :   16,080 ( 63.2%)
    'Prime'                                 :    6,648 ( 26.1%)
    'N/A'                                   :    1,808 (  7.1%)
    ''                                      :      668 (  2.6%)
    'Poor'                                  :      195 (  0.8%)
    'GOOD'                                  :       26 (  0.1%)
    'good'                                  :       12 (  0.0%)
    'PRIME'                                 :        6 (  0.0%)
    'POOR'                                  :        3 (  0.0%)

  --- Checkout Time (123,255 records, 83 unique values) ---
    '12:00 PM'                              :   49,665 ( 40.3%)
    '11:00 AM'                              :   16,386 ( 13.3%)
    '2:00 PM'                               :   11,139 (  9.0%)
    '1:00 PM'                               :    9,437 (  7.7%)
    '4:00 PM'                               :    8,254 (  6.7%)
    '3:00 PM'                               :    7,062 (  5.7%)
    '02:00 PM'                              :    2,922 (  2.4%)
    '0:00 AM'                               :    2,448 (  2.0%)
    '10:00 AM'                              :    2,152 (  1.7%)
    '6:00 PM'                               :    1,994 (  1.6%)
    '04:00 PM'                              :    1,867 (  1.5%)
    '03:00 PM'                              :    1,364 (  1.1%)
    '01:00 PM'                              :    1,196 (  1.0%)
    '10:00 PM'                              :    1,021 (  0.8%)
    '5:00 PM'                               :      999 (  0.8%)
    '4:30 PM'                               :      968 (  0.8%)
    ''                                      :      851 (  0.7%)
    '05:00 PM'                              :      517 (  0.4%)
    '11:30 AM'                              :      387 (  0.3%)
    '9:00 PM'                               :      269 (  0.2%)
    '06:00 PM'                              :      268 (  0.2%)
    '1:30 PM'                               :      238 (  0.2%)
    '8:00 PM'                               :      232 (  0.2%)
    '2:30 PM'                               :      216 (  0.2%)
    '0:00 PM'                               :      174 (  0.1%)
    ... and 58 more values

  --- Checkin Time (123,093 records, 84 unique values) ---
    '2:00 PM'                               :   40,439 ( 32.9%)
    '3:00 PM'                               :   16,778 ( 13.6%)
    '12:00 PM'                              :   10,778 (  8.8%)
    '4:00 PM'                               :    9,175 (  7.5%)
    '1:00 PM'                               :    8,471 (  6.9%)
    '02:00 PM'                              :    7,538 (  6.1%)
    '6:00 PM'                               :    6,875 (  5.6%)
    '5:00 PM'                               :    5,281 (  4.3%)
    '03:00 PM'                              :    2,649 (  2.2%)
    '0:00 AM'                               :    2,413 (  2.0%)
    '04:00 PM'                              :    2,273 (  1.8%)
    '01:00 PM'                              :    1,544 (  1.3%)
    '06:00 PM'                              :    1,459 (  1.2%)
    '05:00 PM'                              :    1,139 (  0.9%)
    ''                                      :      693 (  0.6%)
    '10:00 AM'                              :      677 (  0.5%)
    '8:00 AM'                               :      533 (  0.4%)
    '6:00 AM'                               :      466 (  0.4%)
    '12:30 PM'                              :      452 (  0.4%)
    '11:00 AM'                              :      427 (  0.3%)
    '06:00 AM'                              :      415 (  0.3%)
    '2:30 PM'                               :      375 (  0.3%)
    '12:01 PM'                              :      258 (  0.2%)
    '3:30 PM'                               :      216 (  0.2%)
    '08:00 AM'                              :      211 (  0.2%)
    ... and 59 more values

================================================================================
  7. CAMPSITE EQUIPMENT - Complete inventory
================================================================================
Total equipment records: 431,992
Unique equipment names: 15

All equipment types:
  Tent                          :  102,753 records | len: 1-500ft (avg 44) | zero_len: 44,106
  RV                            :   87,950 records | len: 1-500ft (avg 43) | zero_len: 15,500
  Trailer                       :   85,285 records | len: 1-500ft (avg 43) | zero_len: 16,354
  PICKUP CAMPER                 :   24,429 records | len: 1-120ft (avg 31) | zero_len: 16,457
  POP UP                        :   21,832 records | len: 8-255ft (avg 32) | zero_len: 14,711
  CARAVAN/CAMPER VAN            :   19,691 records | len: 10-120ft (avg 32) | zero_len: 11,077
  FIFTH WHEEL                   :   18,595 records | len: 6-350ft (avg 37) | zero_len: 10,299
  SMALL TENT                    :   17,828 records | len: 5-70ft (avg 23) | zero_len: 17,239
  VEHICLE                       :   16,807 records | len: 8-100ft (avg 31) | zero_len: 11,249
  CAR                           :   13,403 records | len: 10-120ft (avg 31) | zero_len: 9,653
  LARGE TENT OVER 9X12`         :   13,353 records | len: 10-72ft (avg 29) | zero_len: 12,800
  Boat                          :    4,538 records | len: 8-85ft (avg 34) | zero_len: 3,311
  Hammock                       :    2,197 records | len: 12-64ft (avg 37) | zero_len: 2,113
  RV/MOTORHOME                  :    1,943 records | len: 16-65ft (avg 36) | zero_len: 1,312
  Horse                         :    1,388 records | len: 1-115ft (avg 42) | zero_len: 568

RV max_length distribution:
  0 (zero/unknown)         :   15,500
  1-15 ft                  :      393
  16-20 ft                 :    3,508
  21-25 ft                 :    5,971
  26-30 ft                 :    9,949
  31-35 ft                 :    8,631
  36-40 ft                 :   12,075
  41-45 ft                 :    7,547
  46-60 ft                 :   15,338
  60+ ft                   :    9,038
